timestamp,user_id,tweets,class,twitter_screen_name,retweetCnt,replyCnt,favoriteCnt,hashtagCnt
2014,31290927,224,genuine,jherbig,78359,0,64,113
2014,42642152,2450,genuine,palashmustafiz,374666,0,130,525
2014,45859110,2412,spambot,giannprincesa,661483,0,106,920
2014,50357236,1358,unable,MiiiGoh,240949,0,270,67
2014,71762592,47,genuine,bismaakbar,3004,0,15,31
2014,75506408,96,spambot,krnbwj,619,0,50,154
2014,79057935,2278,genuine,franchicovi,358743,0,302,366
2014,102050811,1256,genuine,ronaloves,395853,0,172,191
2014,123209387,7,genuine,JamesProcopis,9,0,6,1
2014,131043638,561,genuine,AboutFactsNet,2,0,5,0
2014,136173007,42,genuine,TheRashooAwan,20,0,15,15
2014,144976887,1925,genuine,hakns,399485,0,380,1338
2014,150873009,2214,unable,frances_corrine,86051,0,201,480
2014,153690249,854,genuine,Chemaparis,26049,0,502,346
2014,161547148,1294,genuine,VanessaBeniteez,101788,0,306,67
2014,169325249,495,genuine,toppjj,60895,0,75,1017
2014,189795889,824,genuine,RKPriestley,22895,0,665,316
2014,225281874,88,genuine,bipiiin,58462,0,5,47
2014,227055399,1695,genuine,laurrkat,1774069,0,1596,271
2014,231721237,1298,genuine,cojjeee,308561,0,91,378
2014,241157629,508,genuine,Luke24_,316538,0,104,239
2014,256741082,2372,unable,lEEmSavag3,1144402,0,534,219
2014,261781756,528,genuine,Jay_Rob23_,31414,0,19,3
2014,274577874,676,genuine,rinrin1513,24166,0,99,41
2014,308236961,655,genuine,_KingDevin25,1268284,0,286,113
2014,312299420,862,genuine,erindunnxo,196955,0,279,265
2014,324540065,2141,genuine,Mrz_Diamond,1225101,0,157,1288
2014,345197864,2728,spambot,sassykawaii,2086,0,79,1803
2014,345604332,1990,genuine,gtbotham4eva,904033,0,2870,86
2014,346722822,1549,spambot,Penguin_Stank,303529,0,306,111
2014,348393966,1939,genuine,Abbdulla_,41897,0,41,39
2014,369285103,2137,genuine,Lyshpahh,1522961,0,564,144
2014,382481131,1712,genuine,charliethevern,576303,0,156,1221
2014,387957169,1474,genuine,amockasin,898375,0,1733,81
2014,406524900,1492,genuine,_RyanIngram,899337,0,324,193
2014,413461232,451,genuine,snidethecreator,107972,0,252,8
2014,413655972,2539,genuine,inked1572,759643,0,476,1236
2014,433559911,1377,genuine,JuanWolo,310895,0,142,178
2014,468369974,1864,genuine,jinsofabhooker,379880,0,211,306
2014,481994964,741,genuine,MeerTaimur,85072,0,297,260
2014,539977804,1646,genuine,LOUISHAIRY,1256331,0,14726,187
2014,554002998,667,genuine,krazymoonz,193025,0,42,887
2014,568015457,324,genuine,Cheesegrab,59977,0,108,9
2014,568841497,1466,genuine,ThatWhiteKidBj,1040142,0,566,97
2014,571300130,1814,genuine,Grindhard_Greer,1303600,0,2523,206
2014,609166669,560,unable,brightestbitch,886083,0,322,24
2014,614770385,47,genuine,brockly36,72980,0,8,10
2014,853893720,1853,genuine,wxel_,2716769,0,2298,123
2014,876150199,2237,genuine,bakkedahl,107295,0,5329,228
2014,973526449,899,spambot,TheRealMumtaz,9064,0,156,238
2014,1021644026,2236,genuine,Str8outdaforest,963344,0,397,185
2014,1171310826,1558,genuine,VidTheGreat,780969,0,1798,49
2014,1390147280,136,genuine,ElNicoGalan,2596,0,45,171
2014,1414080518,858,genuine,xoayeli,1239008,0,76,45
2014,1446131569,1034,genuine,lilyfan_,454980,0,2774,239
2014,1465100186,246,genuine,Jan_zie,428120,0,31,27
2014,1505023116,194,spambot,Ashfullanne,342006,0,79,47
2014,1567482860,29,spambot,mr2kieu,4120,0,3,29
2014,1576039274,908,genuine,_offdatmiley,1446123,0,349,39
2014,1613091608,2467,genuine,abba_helicopter,152979,0,1468,266
2014,1617515642,1894,genuine,sofialozano_,2429866,0,751,131
2014,1664307984,965,genuine,_laureldaniel,881604,0,599,28
2014,1855455756,1811,genuine,Tmigl21,1573977,0,483,418
2014,2318172799,2702,genuine,brandoelizondo,5102228,0,993,339
2014,2408175668,261,genuine,KayHemstreet,832547,0,21,59
2014,2642655806,22,spambot,girlbelieber201,191787,0,12,8
2014,2697960505,847,spambot,bluewhiteboy14,73277,0,130,337
2014,2778387798,168,genuine,BrianQWebb,408,0,48,219
2014,2784675022,1625,spambot,wsupdev,6960,0,1421,368
2015,887281,36,spambot,Payo,1609,0,15,4
2015,14418605,2424,genuine,akiraoltar,1673414,0,261,612
2015,18917949,40,genuine,lilalahood,141,0,25,28
2015,18989002,3220,genuine,CBS6Albany,31272,0,2184,573
2015,21345227,3203,spambot,VictorB123,62118,0,702,354
2015,27372659,1590,genuine,DayObama,386284,0,500,112
2015,28687359,3201,genuine,ladytecniq,12551,0,420,689
2015,31290927,100,genuine,jherbig,34678,0,47,40
2015,37407255,3215,genuine,Aagan86,186401,0,1365,1453
2015,42642152,740,genuine,palashmustafiz,29082,0,70,140
2015,45859110,475,spambot,giannprincesa,66555,0,56,79
2015,50357236,383,unable,MiiiGoh,139955,0,94,11
2015,66177353,3225,genuine,rochelle_ejacob,353939,0,1664,86
2015,71762592,10,genuine,bismaakbar,60,0,8,15
2015,75506408,14,spambot,krnbwj,287,0,6,27
2015,79057935,964,genuine,franchicovi,267894,0,125,165
2015,85203320,3198,genuine,boyzinthehoood,118185,0,1103,945
2015,102050811,345,genuine,ronaloves,304014,0,69,58
2015,123209387,8,genuine,JamesProcopis,11,0,2,4
2015,131043638,297,genuine,AboutFactsNet,4,0,4,0
2015,136173007,3137,genuine,TheRashooAwan,79184,0,1242,993
2015,144976887,1279,genuine,hakns,66540,0,274,858
2015,150873009,977,unable,frances_corrine,57931,0,33,200
2015,153690249,430,genuine,Chemaparis,20072,0,230,122
2015,161547148,1899,genuine,VanessaBeniteez,348639,0,633,71
2015,169194549,3224,genuine,BryanBroaddus,13165,0,9118,132
2015,169325249,1253,genuine,toppjj,197989,0,85,1419
2015,189795889,228,genuine,RKPriestley,3373,0,197,78
2015,221187678,3155,genuine,KingKhanBeats,1965179,0,1765,224
2015,225281874,73,genuine,bipiiin,5660,0,7,20
2015,227055399,1539,genuine,laurrkat,1583148,0,1643,218
2015,229875064,76,genuine,ArthurKassel,958,0,5,13
2015,231721237,1876,genuine,cojjeee,559095,0,156,538
2015,241157629,207,genuine,Luke24_,233213,0,18,77
2015,256741082,760,unable,lEEmSavag3,836585,0,165,42
2015,261781756,78,genuine,Jay_Rob23_,4,0,9,0
2015,274577874,2546,genuine,rinrin1513,54961,0,313,208
2015,308236961,285,genuine,_KingDevin25,755014,0,313,100
2015,312299420,516,genuine,erindunnxo,162567,0,100,96
2015,324540065,1028,genuine,Mrz_Diamond,389480,0,158,519
2015,332829606,3149,genuine,GleekHester,1478853,0,514,935
2015,344457551,3190,genuine,Adam_Loko116,1521928,0,1691,283
2015,345197864,491,spambot,sassykawaii,335,0,18,505
2015,345604332,571,genuine,gtbotham4eva,822970,0,706,16
2015,346722822,202,spambot,Penguin_Stank,9543,0,53,2
2015,348393966,1289,genuine,Abbdulla_,180355,0,18,71
2015,369285103,1011,genuine,Lyshpahh,1033488,0,329,37
2015,382481131,1499,genuine,charliethevern,787705,0,158,1134
2015,387957169,530,genuine,amockasin,1065010,0,445,16
2015,406524900,1730,genuine,_RyanIngram,1094229,0,400,169
2015,413461232,2753,genuine,snidethecreator,900512,0,2032,88
2015,413655972,648,genuine,inked1572,152861,0,102,263
2015,433559911,957,genuine,JuanWolo,84400,0,94,56
2015,468369974,1332,genuine,jinsofabhooker,992636,0,412,236
2015,474784082,3224,spambot,Sudipta_Rupu,36575,0,267,4672
2015,481994964,373,genuine,MeerTaimur,24529,0,49,183
2015,488351800,3180,unable,angeli_masc,6118316,0,334,197
2015,539977804,1597,genuine,LOUISHAIRY,3459804,0,11084,66
2015,547900413,3191,genuine,DrumminAshton,22029218,0,1326,333
2015,554002998,160,genuine,krazymoonz,23098,0,6,285
2015,568015457,2911,genuine,Cheesegrab,238002,0,1122,64
2015,568841497,461,genuine,ThatWhiteKidBj,463335,0,138,8
2015,571300130,1034,genuine,Grindhard_Greer,1506952,0,1565,127
2015,609166669,2564,unable,brightestbitch,6168827,0,1844,89
2015,614770385,6,genuine,brockly36,0,0,4,2
2015,632681284,3233,genuine,supadupatroopa,822739,0,2928,103
2015,710518321,3202,genuine,myltuazon,208164,0,622,190
2015,853893720,1334,genuine,wxel_,1930286,0,1702,88
2015,876150199,654,genuine,bakkedahl,105258,0,1982,51
2015,973526449,847,spambot,TheRealMumtaz,12335,0,33,486
2015,1021644026,89,genuine,Str8outdaforest,184670,0,10,3
2015,1171310826,1595,genuine,VidTheGreat,1210581,0,1907,52
2015,1390147280,40,genuine,ElNicoGalan,31,0,18,83
2015,1414080518,1152,genuine,xoayeli,1527155,0,177,70
2015,1425572605,279,genuine,AlexiaStaine,655371,0,30,11
2015,1446131569,552,genuine,lilyfan_,463987,0,1988,89
2015,1465100186,249,genuine,Jan_zie,534323,0,21,20
2015,1505023116,78,spambot,Ashfullanne,12857,0,57,15
2015,1553611423,3212,unable,3shaa_,325625,0,1833,126
2015,1557371234,3221,genuine,PALEBVTERA,835088,0,495,591
2015,1567482860,21,spambot,mr2kieu,0,0,6,31
2015,1576039274,419,genuine,_offdatmiley,770886,0,282,26
2015,1613091608,481,genuine,abba_helicopter,13511,0,285,126
2015,1617515642,1263,genuine,sofialozano_,2180848,0,493,56
2015,1664307984,793,genuine,_laureldaniel,2422151,0,503,12
2015,1855455756,1400,genuine,Tmigl21,1314157,0,508,197
2015,2166704005,3201,genuine,RochieeChance,1164185,0,701,888
2015,2312368014,3207,genuine,suaveeebriii,559198,0,2616,54
2015,2318172799,448,genuine,brandoelizondo,1261944,0,111,12
2015,2408175668,424,genuine,KayHemstreet,1306140,0,142,22
2015,2524484877,3236,unable,polarbearlester,592671,0,3218,90
2015,2642655806,116,spambot,girlbelieber201,477502,0,7,149
2015,2697960505,2046,spambot,bluewhiteboy14,410660,0,286,713
2015,2778387798,138,genuine,BrianQWebb,348,0,47,151
2015,2784675022,1488,spambot,wsupdev,23693,0,1096,46
2015,2982524516,175,unable,kakakarlalita,158014,0,40,20
2015,3013481653,1186,genuine,drizzlingh0ran,3111109,0,69,958
2015,3013763124,226,genuine,gabriellanaxo,756761,0,28,7
2015,3070794500,928,unable,cristieeevee,1327355,0,441,25
2015,3073742769,426,genuine,QuiNigga__,532145,0,486,40
