timestamp,user_id,retweetCnt,replyCnt,favoriteCnt,hashtagCnt,tweets,screen_name
2013,152232092,19139,0,251,320,1029,pinkcesstaime
2013,153162975,191607,0,37,404,2497,ThaThaTgurL
2013,153288354,355542,0,511,188,1300,sarahvoverall
2013,153439655,17900,0,10,88,532,mistah510
2013,485384525,29876,0,190,27,356,AshtonAlford23
2013,485873421,129295,0,12,15,246,baiannuo
2013,1675170325,0,0,0,0,1,NakiGirl2013
2013,1676579581,2580,0,1,4,102,salemalbarjass
2013,1683489438,44462,0,462,36,868,millierichxx
2013,1689315170,60,0,0,1,1,KatiaKatxx
2014,8548002,157069,0,56,309,397,ochaser
2014,8657052,18442,0,836,364,2431,firebellys
2014,8711952,58275,0,9,2,13,caseyalt
2014,9272142,81603,0,888,1635,2689,DWCook
2014,9427822,119203,0,199,36,1102,ryanstenhouse
2014,9605632,242667,0,141,1107,1761,SeasonOfBytes
2014,10866252,250406,0,1334,462,2365,kannibal
2014,11086752,40761,0,317,74,1081,edowoo
2014,11174562,7183,0,51,28,159,ditorelo
2014,11417372,87088,0,398,625,1793,karlomongaya
2014,16282004,28,0,23,9,3221,eckates
2014,16740486,13378,0,64,12,197,genebailey
2014,17132768,305,0,174,1,292,patrickghoward
2014,18013384,4643,0,99,277,2342,DoggieCakes
2014,21331733,0,0,1,0,203,DavidVarrone
2014,22316443,2845,0,107,2026,3240,ShowYouSuccess
2014,23088369,538,0,291,0,3207,mentalitchsite
2014,26117307,45226,0,326,996,1061,LaurieMoonPR
2014,26743316,400,0,377,5553,3232,21stsoft
2014,43133380,14929,0,241,205,1676,StratCommun
2014,75863742,6178,0,4847,187,661,ScreenwritingU
2014,90421989,6035,0,138,1299,2186,love5cs
2014,101882667,65,0,39,277,208,DUWomensCollege
2014,129549447,6,0,27,45,1693,Bidge1954
2014,133834939,61,0,49,86,3213,On_The_Vines
2014,151289371,30322,0,1319,616,1171,inthemageors
2014,151855545,152,0,6,0,12,cmdrfletcher
2014,152077459,7380,0,0,19,111,JollyFuentes
2014,152165747,150478,0,2785,229,2134,farahalhamoui
2014,152194153,74431,0,237,5,959,Yviebot
2014,152232092,105223,0,510,107,1221,pinkcesstaime
2014,153162975,31272,0,18,48,521,ThaThaTgurL
2014,153288354,1773286,0,1007,210,1569,sarahvoverall
2014,153439655,220417,0,36,149,430,mistah510
2014,157882115,21,0,54,0,3200,ipadiguide
2014,157882740,17,0,44,0,3245,ecommerceiguide
2014,157883888,27,0,58,0,3220,petsiguide
2014,157884271,28,0,56,0,3216,tshirtiguide
2014,157884661,9,0,51,0,3243,kayakiguide
2014,157899229,13,0,53,0,3215,cmsiguide
2014,157899996,13,0,45,0,3230,iphoneiguide
2014,159797667,12,0,33,5298,3219,BrazilNewsinUK
2014,161256906,26,0,60,0,3233,frances_smith72
2014,161610564,42,0,68,0,3232,daveauburn
2014,161611407,66,0,50,0,3215,garyalexander71
2014,162035733,20,0,52,0,3233,sunilaher78
2014,162167191,19,0,39,0,3220,iguidenetwork
2014,162341083,18,0,61,0,3216,yavoneebrown
2014,162390942,25,0,59,0,3215,andyfrosworth
2014,162395011,22,0,43,0,3239,chrismeyers62
2014,162985186,36,0,71,0,3201,andrewshiko
2014,164250795,63,0,501,5930,3200,SocialCommerceT
2014,164269433,24,0,62,0,3206,brettzebula
2014,164303126,16,0,48,0,3228,juantorre55
2014,164560495,52,0,59,0,3239,rickhouston
2014,165778169,19,0,47,0,3208,dnnstrategy
2014,165785902,23,0,52,0,3245,dnnwow
2014,165790334,6,0,46,0,3219,homeschoolducky
2014,166142862,41,0,70,0,3202,cindyr83
2014,166723169,35,0,75,0,3237,florenceabbey77
2014,166727433,27,0,80,0,3233,jamalsmith68
2014,166733398,12,0,50,0,3236,sunying79
2014,177804013,3858,0,878,2702,3243,ultrasoundangie
2014,193056758,28,0,66,0,3235,berniegrandy81
2014,194770829,14,0,46,0,3220,fulloflovesites
2014,194771761,56,0,78,0,3231,vibesites
2014,194773394,25,0,45,0,3224,pryell
2014,194777903,20,0,41,0,3202,europeiguide
2014,194780405,22,0,25,0,3243,dnniguide
2014,483620211,285924,0,916,2727,2181,jafarhaand
2014,483910950,225573,0,386,72,841,johnmainePH
2014,484688843,3235355,0,896,88,1981,matthewmodina
2014,485384525,203269,0,208,8,344,AshtonAlford23
2014,485873421,207583,0,57,37,538,baiannuo
2014,486111271,376271,0,545,196,1516,Jea_Cassie
2014,487251929,2037752,0,1015,81,1696,danielsfresh
2014,1672188043,21077,0,71,1,42,tori_borgna
2014,1675170325,146,0,4,3,46,NakiGirl2013
2014,1676579581,480,0,2,7,94,salemalbarjass
2014,1676639478,357629,0,143,17,895,Zulaaikha
2014,1682290266,1462569,0,1084,105,1992,wynnboy2
2014,1683489438,631907,0,1108,29,1383,millierichxx
2014,1689315170,12963126,0,497,102,1595,KatiaKatxx
2014,1689431460,1337149,0,1467,200,2071,mammothmiller
2014,1690030831,648670,0,388,37,1562,K_smaacks
2014,1692540942,1703470,0,724,224,1324,jjeezy
2015,7004532,5205,0,18647,1055,3231,hamsterwatch
2015,8548002,16769,0,20,66,72,ochaser
2015,8657052,9987,0,319,127,809,firebellys
2015,8711952,85,0,7,13,23,caseyalt
2015,9272142,1732,0,201,319,519,DWCook
2015,9427822,280133,0,409,119,2135,ryanstenhouse
2015,9605632,141429,0,180,1247,1468,SeasonOfBytes
2015,10352582,147797,0,967,1656,3190,shuvankr
2015,10866252,110780,0,638,199,861,kannibal
2015,11086752,45648,0,609,182,2150,edowoo
2015,11174562,3148,0,53,3,99,ditorelo
2015,11417372,13189,0,74,249,406,karlomongaya
2015,151289371,196432,0,2029,832,2058,inthemageors
2015,151855545,90,0,654,70,3208,cmdrfletcher
2015,151969817,12446,0,64,51,275,SnappyKyle
2015,152077459,10728,0,37,66,127,JollyFuentes
2015,152165747,186082,0,1298,131,1085,farahalhamoui
2015,152194153,132389,0,581,16,2275,Yviebot
2015,152232092,168809,0,234,48,946,pinkcesstaime
2015,152644666,1241949,0,919,1940,3209,annaveiro_
2015,152742559,1120349,0,1354,93,3211,Snaked_Lows
2015,152774141,20046,0,49,8,3214,iam_mcmich
2015,153162975,10054,0,13,54,177,ThaThaTgurL
2015,153288354,431837,0,159,34,312,sarahvoverall
2015,153439655,179610,0,124,430,831,mistah510
2015,483620211,69248,0,711,1001,1044,jafarhaand
2015,483910950,11658660,0,544,379,2358,johnmainePH
2015,484522355,409816,0,3204,1896,3243,AnupamkPandey
2015,484688843,2363381,0,615,41,1189,matthewmodina
2015,485265056,317007,0,1718,1708,3179,SusanSpurgeon1
2015,485273674,3736624,0,693,147,3180,BrunosKilos
2015,485384525,80294,0,77,2,115,AshtonAlford23
2015,485873421,68646,0,16,12,147,baiannuo
2015,486111271,466555,0,233,120,1693,Jea_Cassie
2015,486172124,1593207,0,390,490,3188,milingpiling
2015,487251929,1263949,0,791,50,1483,danielsfresh
2015,1672188043,4357146,0,3905,39,3146,tori_borgna
2015,1675170325,260,0,4,9,23,NakiGirl2013
2015,1676579581,188,0,6,0,152,salemalbarjass
2015,1676639478,823185,0,228,4,2318,Zulaaikha
2015,1678138165,4459221,0,656,347,3228,lilytomyjamie
2015,1682290266,1067375,0,679,42,1202,wynnboy2
2015,1683489438,186044,0,954,27,807,millierichxx
2015,1686842737,2864455,0,2195,144,3193,DSFTWKTA
2015,1689315170,7461477,0,318,86,1493,KatiaKatxx
2015,1689431460,644322,0,968,97,1144,mammothmiller
2015,1690030831,868227,0,309,51,1607,K_smaacks
2015,1692540942,1967741,0,953,315,1866,jjeezy
2015,1693274954,6299,0,131,129,3239,EngSamir7
2015,1705146012,607648,0,4266,1241,3093,CityOfAng3ls__
