"crowdflower_id","trusted_answers","last_answer_at","class","class_confidence","ground_truth_class","comments","account_type","dataset","twitter_user_id","twitter_screen_name"
"911070201","3","2016-04-04 10:45:43","unable","1.0000","genuine","the page is not exist
Doesnt exist
deleted","genuine accounts","genuine accounts","256741082","lEEmSavag3"
"911070207","3","2016-04-04 10:46:53","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","261781756","Jay_Rob23_"
"911070229","3","2016-04-04 10:43:45","genuine","0.6406","genuine",,"genuine accounts","genuine accounts","274577874","rinrin1513"
"911070284","3","2016-04-04 10:31:16","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","308236961","_KingDevin25"
"911070290","3","2016-04-04 11:12:01","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","312299420","erindunnxo"
"911070343","3","2016-04-04 11:43:12","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","324540065","Mrz_Diamond"
"911070382","3","2016-04-04 11:42:25","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","332829606","GleekHester"
"911070423","3","2016-04-04 11:24:44","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","344457551","Adam_Loko116"
"911070424","3","2016-04-04 11:44:58","spambot","0.6281","genuine",,"genuine accounts","genuine accounts","345197864","sassykawaii"
"911070425","3","2016-04-04 11:21:50","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","345604332","gtbotham4eva"
"911070428","3","2016-04-04 11:14:21","spambot","0.6567","genuine",,"genuine accounts","genuine accounts","346722822","Penguin_Stank"
"911070439","3","2016-04-04 11:08:54","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","348393966","Abbdulla_"
"911070477","3","2016-04-04 10:23:15","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","369285103","Lyshpahh"
"911070503","3","2016-04-04 11:26:44","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","382481131","charliethevern"
"911070512","3","2016-04-04 11:12:21","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","387957169","amockasin"
"911070541","3","2016-04-04 11:29:31","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","406524900","_RyanIngram"
"911070549","3","2016-04-04 11:19:54","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","413461232","snidethecreator"
"911070551","3","2016-04-04 11:29:50","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","413655972","inked1572"
"911070574","3","2016-04-04 10:28:19","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","433559911","JuanWolo"
"911070916","3","2016-04-04 11:58:58","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","468369974","jinsofabhooker"
"911070920","3","2016-04-04 11:40:15","genuine","0.6973","genuine",,"genuine accounts","genuine accounts","474784082","Sudipta_Rupu"
"911070925","3","2016-04-04 11:04:56","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","481994964","MeerTaimur"
"911070933","3","2016-04-04 11:56:59","unable","1.0000","genuine","protect account
private account
protection","genuine accounts","genuine accounts","488351800","angeli_masc"
"911071134","3","2016-04-04 11:18:54","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","539977804","LOUISHAIRY"
"911071151","3","2016-04-04 10:25:20","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","547900413","DrumminAshton"
"911071158","3","2016-04-04 11:56:51","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","554002998","krazymoonz"
"911071191","3","2016-04-04 11:19:54","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","568015457","Cheesegrab"
"911071192","3","2016-04-04 11:18:42","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","568841497","ThatWhiteKidBj"
"911071201","3","2016-04-04 11:52:06","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","571300130","Grindhard_Greer"
"911071254","3","2016-04-04 10:59:00","unable","0.7121","genuine","@brightestbitch hasn't tweeted yet.
No tweets","genuine accounts","genuine accounts","609166669","brightestbitch"
"911071281","3","2016-04-04 11:28:12","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","614770385","brockly36"
"911071303","3","2016-04-04 11:27:09","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","632681284","supadupatroopa"
"911071328","3","2016-04-04 10:51:57","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","710518321","myltuazon"
"911071401","3","2016-04-04 10:16:20","genuine","0.6817","genuine",,"genuine accounts","genuine accounts","853893720","wxel_"
"911071411","3","2016-04-04 11:29:39","genuine","0.6714","genuine",,"genuine accounts","genuine accounts","876150199","bakkedahl"
"911071441","3","2016-04-04 11:21:41","genuine","0.6714","genuine",,"genuine accounts","genuine accounts","973526449","TheRealMumtaz"
"911071456","3","2016-04-04 10:47:27","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1021644026","Str8outdaforest"
"911071496","3","2016-04-04 11:21:07","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1171310826","VidTheGreat"
"911071575","3","2016-04-04 10:54:01","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1390147280","ElNicoGalan"
"911071582","3","2016-04-04 11:42:19","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1414080518","xoayeli"
"911071586","3","2016-04-04 11:24:54","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1425572605","AlexiaStaine"
"911071590","3","2016-04-04 11:58:07","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1446131569","lilyfan_"
"911071595","3","2016-04-04 10:48:13","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1465100186","Jan_zie"
"911071606","3","2016-04-04 11:48:58","genuine","0.6950","genuine",,"genuine accounts","genuine accounts","1505023116","Ashfullanne"
"911071617","3","2016-04-04 10:35:55","unable","1.0000","genuine","protected
Tweet of @3shaa_ proteced
protected tweets","genuine accounts","genuine accounts","1553611423","3shaa_"
"911071618","3","2016-04-04 11:49:56","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1557371234","PALEBVTERA"
"911071621","3","2016-04-04 11:44:50","spambot","0.6605","genuine",,"genuine accounts","genuine accounts","1567482860","mr2kieu"
"911071622","3","2016-04-04 11:28:00","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1576039274","_offdatmiley"
"911071632","3","2016-04-04 11:19:34","genuine","0.6707","genuine",,"genuine accounts","genuine accounts","1613091608","abba_helicopter"
"911071634","3","2016-04-04 10:41:08","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1617515642","sofialozano_"
"911071650","3","2016-04-04 11:48:30","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1664307984","_laureldaniel"
"911071672","3","2016-04-04 10:14:49","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1855455756","Tmigl21"
"911071715","3","2016-04-04 14:06:38","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","2166704005","RochieeChance"
"911071805","3","2016-04-04 11:28:16","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","2312368014","suaveeebriii"
"911071810","3","2016-04-04 10:49:50","genuine","0.6762","genuine",,"genuine accounts","genuine accounts","2318172799","brandoelizondo"
"911072347","3","2016-04-04 10:30:33","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","2408175668","KayHemstreet"
"911072387","3","2016-04-04 11:25:54","unable","0.6866","genuine","no tweets
no information","genuine accounts","genuine accounts","2524484877","polarbearlester"
"911072447","3","2016-04-04 10:13:42","spambot","0.6667","genuine",,"genuine accounts","genuine accounts","2642655806","girlbelieber201"
"911072480","3","2016-04-04 11:31:36","spambot","1.0000","genuine",,"genuine accounts","genuine accounts","2697960505","bluewhiteboy14"
"911072529","3","2016-04-04 11:51:56","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","2778387798","BrianQWebb"
"911072537","3","2016-04-04 10:21:11","genuine","0.7164","genuine",,"genuine accounts","genuine accounts","2784675022","wsupdev"
"911072689","3","2016-04-04 10:50:10","unable","1.0000","genuine","The person named jamie masson Tweets are hidden
protected id
protected profile","genuine accounts","genuine accounts","2982524516","kakakarlalita"
"911072711","3","2016-04-04 11:52:18","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","3013481653","drizzlingh0ran"
"911072712","3","2016-04-04 10:17:09","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","3013763124","gabriellanaxo"
"911072735","3","2016-04-04 11:04:58","unable","1.0000","genuine","protected
protected
Protected account","genuine accounts","genuine accounts","3070794500","cristieeevee"
"911072737","3","2016-04-04 11:47:51","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","3073742769","QuiNigga__"
